# Time-averaged data for fix thermo_out
# TimeStep v_myTemp v_myPress v_myPE v_myKE v_myET
11000 150.795 27411.4 -2757.49 9.96032 -2747.53
11100 147.877 27591.7 -2757.3 9.76757 -2747.53
11200 150.688 27549.4 -2757.48 9.95322 -2747.53
11300 139.842 27496.5 -2756.77 9.23683 -2747.53
11400 150.153 27441.1 -2757.45 9.91786 -2747.53
11500 156.691 27414.8 -2757.88 10.3497 -2747.53
11600 150.116 27486.7 -2757.44 9.91546 -2747.53
11700 149.307 27361.7 -2757.39 9.862 -2747.53
11800 150.575 27410.2 -2757.48 9.94579 -2747.53
11900 150.498 27370.9 -2757.47 9.94067 -2747.53
12000 140.546 27480.9 -2756.81 9.28331 -2747.53
12100 152.64 27252.4 -2757.61 10.0821 -2747.53
12200 147.257 27196.7 -2757.26 9.7266 -2747.53
12300 148.513 27320.6 -2757.34 9.80958 -2747.53
12400 144.613 27381 -2757.08 9.55196 -2747.53
12500 145.953 27527.2 -2757.17 9.64048 -2747.53
12600 152.065 27321.7 -2757.57 10.0442 -2747.53
12700 151.402 27215.7 -2757.53 10.0004 -2747.53
12800 153.251 27580.3 -2757.65 10.1225 -2747.53
12900 150.573 27449.4 -2757.48 9.94567 -2747.53
13000 161.607 27677.5 -2758.2 10.6745 -2747.53
13100 146.272 27538.2 -2757.19 9.66156 -2747.53
13200 160.104 27631.9 -2758.1 10.5752 -2747.53
13300 143.84 27624.2 -2757.03 9.50088 -2747.53
13400 165.977 27592.3 -2758.49 10.9631 -2747.53
13500 149.064 27444.8 -2757.38 9.84597 -2747.53
13600 152.145 27331 -2757.58 10.0495 -2747.53
13700 146.659 27614.2 -2757.22 9.68712 -2747.53
13800 159.177 27596.2 -2758.04 10.5139 -2747.53
13900 148.727 27354.6 -2757.35 9.82372 -2747.53
14000 145.626 27356.1 -2757.15 9.6189 -2747.53
14100 150.864 27439.3 -2757.49 9.96487 -2747.53
14200 154.151 27290.2 -2757.71 10.182 -2747.53
14300 154.037 27496.9 -2757.7 10.1744 -2747.53
14400 149.297 27366.4 -2757.39 9.86136 -2747.53
14500 138.749 27456.7 -2756.69 9.16463 -2747.53
14600 135.416 27636.3 -2756.47 8.94449 -2747.53
14700 155.172 27583.2 -2757.78 10.2494 -2747.53
14800 149.497 27347.9 -2757.41 9.87454 -2747.53
14900 153.923 27250.6 -2757.7 10.1669 -2747.53
15000 155.915 27533.3 -2757.83 10.2985 -2747.53
15100 148.181 27449.8 -2757.32 9.78761 -2747.53
15200 145.336 27612.8 -2757.13 9.59972 -2747.53
15300 152.929 27612.6 -2757.63 10.1013 -2747.53
15400 151.637 27547.3 -2757.55 10.0159 -2747.53
15500 142.493 27382.1 -2756.94 9.41197 -2747.53
15600 152.513 27588.8 -2757.6 10.0738 -2747.53
15700 145.49 27612.5 -2757.14 9.60991 -2747.53
15800 148.048 27414.7 -2757.31 9.77882 -2747.53
15900 147.354 27680.7 -2757.26 9.73304 -2747.53
16000 144.418 27341.9 -2757.07 9.53911 -2747.53
16100 141.389 27650 -2756.87 9.33899 -2747.53
16200 160.509 27546.6 -2758.13 10.6019 -2747.53
16300 150.784 27498.4 -2757.49 9.95954 -2747.53
16400 153.506 27385.4 -2757.67 10.1394 -2747.53
16500 149.962 27512.3 -2757.43 9.90527 -2747.53
16600 148.801 27659.8 -2757.36 9.8286 -2747.53
16700 145.699 27788.6 -2757.15 9.62369 -2747.53
16800 152.416 27464.2 -2757.6 10.0674 -2747.53
16900 151.008 27480.3 -2757.5 9.97434 -2747.53
17000 156.382 27677.7 -2757.86 10.3293 -2747.53
17100 157.373 27668.2 -2757.92 10.3948 -2747.53
17200 150.861 27683.4 -2757.49 9.96463 -2747.53
17300 148.931 27375.8 -2757.37 9.8372 -2747.53
17400 153.297 27659 -2757.65 10.1256 -2747.53
17500 144.673 27610.9 -2757.08 9.55592 -2747.53
17600 149.817 27497.1 -2757.43 9.89567 -2747.53
17700 147.021 27205.3 -2757.24 9.711 -2747.53
17800 149.808 27337 -2757.42 9.89511 -2747.53
17900 143.515 27368.7 -2757.01 9.47942 -2747.53
18000 142.741 27477.1 -2756.96 9.4283 -2747.53
18100 138.181 27265.1 -2756.66 9.1271 -2747.53
18200 141.062 27178.5 -2756.85 9.3174 -2747.53
18300 153.889 27259.3 -2757.7 10.1647 -2747.53
18400 153.354 27519.9 -2757.66 10.1293 -2747.53
18500 136.345 27356.2 -2756.53 9.00586 -2747.53
18600 139.916 27384.1 -2756.77 9.2417 -2747.53
18700 141.952 27391.7 -2756.91 9.37624 -2747.53
18800 159.714 27435.6 -2758.08 10.5494 -2747.53
18900 139.939 27203.3 -2756.77 9.24321 -2747.53
19000 148.302 27459.3 -2757.32 9.79563 -2747.53
19100 140.921 27347.7 -2756.84 9.30807 -2747.53
19200 152.567 27319.5 -2757.61 10.0773 -2747.53
19300 144.278 27291.2 -2757.06 9.52986 -2747.53
19400 148.827 27522.6 -2757.36 9.83031 -2747.53
19500 133.634 27275.7 -2756.36 8.82679 -2747.53
19600 142.589 27295.6 -2756.95 9.41825 -2747.53
19700 153.344 27236.9 -2757.66 10.1286 -2747.53
19800 145.904 27226.8 -2757.17 9.63727 -2747.53
19900 145.992 27114 -2757.17 9.64304 -2747.53
20000 142.077 27426.4 -2756.91 9.38445 -2747.53
20100 142.791 27398.2 -2756.96 9.43159 -2747.53
20200 133.539 27489.7 -2756.35 8.82054 -2747.53
20300 155.434 27481.5 -2757.8 10.2667 -2747.53
20400 146.022 27385.5 -2757.17 9.64505 -2747.53
20500 150.157 27244.5 -2757.45 9.91818 -2747.53
20600 147.218 27343.8 -2757.25 9.724 -2747.53
20700 147.895 27564 -2757.3 9.76873 -2747.53
20800 142.834 27404.3 -2756.96 9.43449 -2747.53
20900 151.439 27577 -2757.53 10.0028 -2747.53
21000 144.796 27422.6 -2757.09 9.56405 -2747.53
21100 147.536 27331.7 -2757.27 9.74506 -2747.53
21200 149.727 27382.9 -2757.42 9.88979 -2747.53
21300 140.292 27402 -2756.8 9.26657 -2747.53
21400 134.994 27409.9 -2756.45 8.91663 -2747.53
21500 149.191 27379.1 -2757.38 9.85436 -2747.53
21600 138.213 27244.6 -2756.66 9.12923 -2747.53
21700 152.684 27337.3 -2757.62 10.0851 -2747.53
21800 140.537 27166.4 -2756.81 9.28271 -2747.53
21900 139.782 27359.7 -2756.76 9.23285 -2747.53
22000 136.222 27267 -2756.53 8.99771 -2747.53
22100 151.836 27388.4 -2757.56 10.0291 -2747.53
22200 147.079 27248.3 -2757.24 9.71488 -2747.53
22300 152.478 27296.9 -2757.6 10.0714 -2747.53
22400 147.573 27337.3 -2757.28 9.74746 -2747.53
22500 141.547 27402.3 -2756.88 9.34943 -2747.53
22600 141.707 27433.5 -2756.89 9.35999 -2747.53
22700 152.302 27413.7 -2757.59 10.0598 -2747.53
22800 147.63 27503.2 -2757.28 9.75124 -2747.53
22900 151.582 27315.5 -2757.54 10.0123 -2747.53
23000 153.132 27510.8 -2757.64 10.1147 -2747.53
23100 148.025 27453.6 -2757.31 9.77734 -2747.53
23200 145.253 27454.5 -2757.12 9.59422 -2747.53
23300 145.456 27357.5 -2757.14 9.60763 -2747.53
23400 146.776 27575.5 -2757.22 9.69485 -2747.53
23500 150.676 27509.1 -2757.48 9.95246 -2747.53
23600 151.305 27404.5 -2757.52 9.99399 -2747.53
23700 152.728 27357.6 -2757.62 10.088 -2747.53
23800 145.912 27153.1 -2757.17 9.63775 -2747.53
23900 147.429 27404.7 -2757.27 9.73797 -2747.53
24000 150.043 27629.1 -2757.44 9.91063 -2747.53
24100 145.859 27475.9 -2757.16 9.63427 -2747.53
24200 147.906 27376.6 -2757.3 9.7695 -2747.53
24300 150.934 27626.3 -2757.5 9.96951 -2747.53
24400 156.038 27654.9 -2757.84 10.3066 -2747.53
24500 141.799 27510.4 -2756.89 9.36609 -2747.53
24600 146.243 27461.1 -2757.19 9.65961 -2747.53
24700 152.036 27392.7 -2757.57 10.0423 -2747.53
24800 156.377 27625.9 -2757.86 10.329 -2747.53
24900 149.411 27535.1 -2757.4 9.86887 -2747.53
25000 151.301 27638.8 -2757.52 9.99376 -2747.53
25100 149.739 27422 -2757.42 9.89053 -2747.53
25200 145.296 27539.5 -2757.13 9.59707 -2747.53
25300 153.814 27731.8 -2757.69 10.1597 -2747.53
25400 143.683 27621.8 -2757.02 9.49055 -2747.53
25500 140.577 27480.5 -2756.81 9.28538 -2747.53
25600 158.318 27525.1 -2757.99 10.4572 -2747.53
25700 152.942 27734.5 -2757.63 10.1021 -2747.53
25800 141.913 27378.8 -2756.9 9.37365 -2747.53
25900 146.929 27713 -2757.23 9.70497 -2747.53
26000 149.364 27560.3 -2757.4 9.86576 -2747.53
26100 150.864 27519.2 -2757.49 9.96489 -2747.53
26200 147.231 27618 -2757.25 9.72489 -2747.53
26300 151.649 27554.7 -2757.55 10.0167 -2747.53
26400 151.911 27486.7 -2757.56 10.034 -2747.53
26500 158.12 27419.1 -2757.97 10.4441 -2747.53
26600 154.003 27530 -2757.7 10.1722 -2747.53
26700 148.417 27618 -2757.33 9.80323 -2747.53
26800 152.024 27562.9 -2757.57 10.0415 -2747.53
26900 151.875 27631.5 -2757.56 10.0316 -2747.53
27000 153.314 27366.1 -2757.66 10.1267 -2747.53
27100 147.573 27581.5 -2757.28 9.74749 -2747.53
27200 140.734 27385.8 -2756.82 9.29573 -2747.53
27300 154.69 27547.7 -2757.75 10.2176 -2747.53
27400 149.33 27365.3 -2757.39 9.86357 -2747.53
27500 145.456 27423.3 -2757.14 9.60764 -2747.53
27600 144.738 27283.7 -2757.09 9.56024 -2747.53
27700 151.511 27477.4 -2757.54 10.0076 -2747.53
27800 147.252 27073.4 -2757.26 9.72628 -2747.53
27900 145.829 27147.3 -2757.16 9.6323 -2747.53
28000 143.247 27444.3 -2756.99 9.46173 -2747.53
28100 143.759 27441.3 -2757.02 9.49554 -2747.53
28200 145.049 27471.5 -2757.11 9.58077 -2747.53
28300 147.486 27197 -2757.27 9.74176 -2747.53
28400 150.503 27223.1 -2757.47 9.94099 -2747.53
28500 146.759 27188.2 -2757.22 9.69374 -2747.53
28600 149.798 27313.1 -2757.42 9.89447 -2747.53
28700 140.114 27527.6 -2756.78 9.25481 -2747.53
28800 148.013 27342.3 -2757.31 9.77652 -2747.53
28900 143.11 27265.9 -2756.98 9.45272 -2747.53
29000 153.107 27451 -2757.64 10.113 -2747.53
29100 143.111 27402.4 -2756.98 9.45275 -2747.53
29200 144.734 27296.7 -2757.09 9.55999 -2747.53
29300 144.193 27316.2 -2757.05 9.52421 -2747.53
29400 149.359 27427.9 -2757.39 9.86544 -2747.53
29500 152.734 27339.7 -2757.62 10.0884 -2747.53
29600 143.998 27482.5 -2757.04 9.51138 -2747.53
29700 145.19 27304.5 -2757.12 9.59008 -2747.53
29800 147.94 27226.5 -2757.3 9.77169 -2747.53
29900 149.837 27244.9 -2757.43 9.89702 -2747.53
30000 156.33 27540.9 -2757.86 10.3259 -2747.53
30100 141.991 27533.8 -2756.91 9.37881 -2747.53
30200 151.544 27335.5 -2757.54 10.0098 -2747.53
30300 150.281 27542.4 -2757.46 9.92636 -2747.53
30400 154.145 27603.8 -2757.71 10.1816 -2747.53
30500 143.461 27397.9 -2757.01 9.4759 -2747.53
30600 149.427 27603.8 -2757.4 9.86997 -2747.53
30700 148.622 27327.2 -2757.35 9.81676 -2747.53
30800 148.129 27480.7 -2757.31 9.78421 -2747.53
30900 151.749 27554.7 -2757.55 10.0233 -2747.53
31000 144.653 27405.6 -2757.08 9.55463 -2747.53
31100 139.352 27395.7 -2756.73 9.20449 -2747.53
31200 148.358 27240.1 -2757.33 9.79935 -2747.53
31300 151.356 27491.4 -2757.53 9.99738 -2747.53
31400 141.565 27386.4 -2756.88 9.35064 -2747.53
31500 144 27391.8 -2757.04 9.51148 -2747.53
31600 135.431 27497.8 -2756.47 8.94547 -2747.53
31700 145.545 27403.2 -2757.14 9.61354 -2747.53
31800 143.022 27228.8 -2756.98 9.44686 -2747.53
31900 145.603 27211 -2757.15 9.61737 -2747.53
32000 141.483 27262.8 -2756.87 9.34524 -2747.53
32100 142.441 27525.4 -2756.94 9.4085 -2747.53
32200 148.311 27373.1 -2757.33 9.79622 -2747.53
32300 148.264 27210.8 -2757.32 9.79314 -2747.53
32400 149.301 27314 -2757.39 9.8616 -2747.53
32500 145.842 27335.7 -2757.16 9.63313 -2747.53
32600 143.904 27446.3 -2757.03 9.50515 -2747.53
32700 147.65 27347.3 -2757.28 9.75254 -2747.53
32800 143.763 27362 -2757.02 9.49579 -2747.53
32900 145.729 27349.3 -2757.15 9.62566 -2747.53
33000 147.652 27473.2 -2757.28 9.75272 -2747.53
33100 147.95 27249.9 -2757.3 9.77239 -2747.53
33200 150.101 27158 -2757.44 9.91445 -2747.53
33300 145.55 27422.7 -2757.14 9.61386 -2747.53
33400 147.091 27425.3 -2757.24 9.71563 -2747.53
33500 144.773 27414.1 -2757.09 9.56252 -2747.53
33600 149.435 27272.2 -2757.4 9.8705 -2747.53
33700 150.2 27453.8 -2757.45 9.92099 -2747.53
33800 153.647 27390.2 -2757.68 10.1487 -2747.53
33900 142.25 27370.8 -2756.92 9.39591 -2747.53
34000 140.256 27590.4 -2756.79 9.26419 -2747.53
34100 150.47 27263.1 -2757.47 9.93884 -2747.53
34200 157.218 27280.9 -2757.92 10.3845 -2747.53
34300 151.228 27251.2 -2757.52 9.98891 -2747.53
34400 142.105 27274.8 -2756.92 9.38631 -2747.53
34500 140.504 27330.4 -2756.81 9.28053 -2747.53
34600 147.413 27465.3 -2757.27 9.73692 -2747.53
34700 152.084 27428.2 -2757.58 10.0454 -2747.53
34800 142.829 27288.7 -2756.96 9.4341 -2747.53
34900 141.517 27298.7 -2756.88 9.34745 -2747.53
35000 144.64 27430.2 -2757.08 9.55374 -2747.53
35100 147.414 27239.3 -2757.27 9.73701 -2747.53
35200 136.943 27072.3 -2756.57 9.04536 -2747.53
35300 143.344 27298.6 -2757 9.46815 -2747.53
35400 146.248 27225.9 -2757.19 9.65995 -2747.53
35500 146.381 27139.8 -2757.2 9.66872 -2747.53
35600 151.535 27151.5 -2757.54 10.0092 -2747.53
35700 139.801 27241.3 -2756.76 9.2341 -2747.53
35800 137.718 27197.2 -2756.63 9.09656 -2747.53
35900 144.263 27393.4 -2757.06 9.52883 -2747.53
36000 149.158 27483.7 -2757.38 9.85219 -2747.53
36100 145.272 27111.3 -2757.13 9.5955 -2747.53
36200 149.798 27284.7 -2757.42 9.89448 -2747.53
36300 145.072 27367 -2757.11 9.58229 -2747.53
36400 145.4 27387.9 -2757.13 9.60392 -2747.53
36500 145.539 27423.7 -2757.14 9.61312 -2747.53
36600 151.617 27128.1 -2757.54 10.0146 -2747.53
36700 154.44 27160.5 -2757.73 10.2011 -2747.53
36800 149.016 27320.6 -2757.37 9.84277 -2747.53
36900 141.711 27395.4 -2756.89 9.36029 -2747.53
37000 144.828 27261.4 -2757.1 9.56614 -2747.53
37100 149.62 27190.4 -2757.41 9.88268 -2747.53
37200 140.77 27322.4 -2756.83 9.29816 -2747.53
37300 145.87 27400.7 -2757.16 9.63503 -2747.53
37400 153.448 27491.6 -2757.67 10.1355 -2747.53
37500 146.263 27236.7 -2757.19 9.66094 -2747.53
37600 141.842 27345.5 -2756.9 9.36895 -2747.53
37700 146.998 27352.5 -2757.24 9.70949 -2747.53
37800 149.6 27341.8 -2757.41 9.8814 -2747.53
37900 146.846 27160.7 -2757.23 9.69947 -2747.53
38000 148.024 27404.7 -2757.31 9.77727 -2747.53
38100 143.675 27259 -2757.02 9.48998 -2747.53
38200 150.862 27317.6 -2757.49 9.96474 -2747.53
38300 146.965 27463.2 -2757.24 9.70734 -2747.53
38400 149.135 27192.3 -2757.38 9.85064 -2747.53
38500 145.335 27281.7 -2757.13 9.59964 -2747.53
38600 150.661 27282.1 -2757.48 9.95144 -2747.53
38700 150.369 27416.1 -2757.46 9.93219 -2747.53
38800 143.981 27317.8 -2757.04 9.51025 -2747.53
38900 147.134 27373.8 -2757.25 9.7185 -2747.53
39000 144.199 27236.8 -2757.05 9.52461 -2747.53
39100 146.857 27346.1 -2757.23 9.70019 -2747.53
39200 144.053 27216.2 -2757.04 9.51496 -2747.53
39300 145.877 27376.2 -2757.16 9.63548 -2747.53
39400 148.125 27355.3 -2757.31 9.78396 -2747.53
39500 152.601 27281.4 -2757.61 10.0796 -2747.53
39600 147.001 27369.5 -2757.24 9.70973 -2747.53
39700 150.131 27489.4 -2757.45 9.91647 -2747.53
39800 145.377 27478.8 -2757.13 9.60245 -2747.53
39900 152.079 27359.3 -2757.57 10.0451 -2747.53
40000 149.648 27440 -2757.41 9.88452 -2747.53
40100 152.731 27411.6 -2757.62 10.0882 -2747.53
40200 148.038 27290.9 -2757.31 9.77818 -2747.53
40300 154.678 27476.5 -2757.75 10.2168 -2747.53
40400 143.685 27160.5 -2757.02 9.49069 -2747.53
40500 146.455 27387.2 -2757.2 9.67362 -2747.53
40600 148.446 27534.5 -2757.33 9.80513 -2747.53
40700 149.619 27529 -2757.41 9.8826 -2747.53
40800 142.146 27250.8 -2756.92 9.38904 -2747.53
40900 152.24 27368.1 -2757.59 10.0558 -2747.53
41000 153.653 27293.3 -2757.68 10.1491 -2747.53
41100 149.972 27330.8 -2757.44 9.90591 -2747.53
41200 145.462 27347 -2757.14 9.60805 -2747.53
41300 141.299 27354.5 -2756.86 9.33308 -2747.53
41400 149.106 27326.1 -2757.38 9.84872 -2747.53
41500 152.442 27345.5 -2757.6 10.0691 -2747.53
41600 148.479 27241.8 -2757.34 9.80734 -2747.53
41700 145.544 27219.6 -2757.14 9.61348 -2747.53
41800 154.702 27317.6 -2757.75 10.2184 -2747.53
41900 147.065 27586.8 -2757.24 9.71395 -2747.53
42000 146.095 27607.8 -2757.18 9.64989 -2747.53
42100 147.791 27324.5 -2757.29 9.76185 -2747.53
42200 144.355 27269 -2757.06 9.53492 -2747.53
42300 152.777 27410.4 -2757.62 10.0912 -2747.53
42400 153.922 27395.4 -2757.7 10.1668 -2747.53
42500 150.595 27265.9 -2757.48 9.94706 -2747.53
42600 143.941 27481.1 -2757.04 9.50755 -2747.53
42700 148.928 27424.3 -2757.37 9.83701 -2747.53
42800 150.867 27333.5 -2757.49 9.96503 -2747.53
42900 147.45 27169.9 -2757.27 9.73939 -2747.53
43000 146.398 27240.7 -2757.2 9.66985 -2747.53
43100 143.481 27193.2 -2757.01 9.47721 -2747.53
43200 151.671 27463 -2757.55 10.0182 -2747.53
43300 146.67 27438.7 -2757.22 9.68786 -2747.53
43400 147.958 27443.6 -2757.3 9.77293 -2747.53
43500 143.652 27247.2 -2757.02 9.4885 -2747.53
43600 148.936 27311.9 -2757.37 9.83752 -2747.53
43700 147.734 27344.6 -2757.29 9.75814 -2747.53
43800 153.236 27239.5 -2757.65 10.1215 -2747.53
43900 148.67 27463.1 -2757.35 9.81992 -2747.53
44000 144.785 27377 -2757.09 9.56331 -2747.53
44100 145.909 27361.6 -2757.17 9.63756 -2747.53
44200 145.928 27105.2 -2757.17 9.63884 -2747.53
44300 148.367 27266.3 -2757.33 9.79993 -2747.53
44400 143.133 27113.3 -2756.98 9.45419 -2747.53
44500 143.008 27239.8 -2756.97 9.44596 -2747.53
44600 140.767 27089.1 -2756.83 9.29792 -2747.53
44700 150.008 27304.7 -2757.44 9.90831 -2747.53
44800 139.702 27136.8 -2756.76 9.22761 -2747.53
44900 138.997 27068 -2756.71 9.18102 -2747.53
45000 133.502 27110.2 -2756.35 8.81806 -2747.53
45100 142.026 27125.6 -2756.91 9.38111 -2747.53
45200 144.116 27067.6 -2757.05 9.51917 -2747.53
45300 151.606 27155 -2757.54 10.0139 -2747.53
45400 140.317 27174.4 -2756.8 9.26822 -2747.53
45500 135.693 27232.3 -2756.49 8.96279 -2747.53
45600 138.279 27236.2 -2756.66 9.13358 -2747.53
45700 146.364 27285.5 -2757.2 9.66766 -2747.53
45800 141.702 26958.6 -2756.89 9.35971 -2747.53
45900 147.037 27227.2 -2757.24 9.7121 -2747.53
46000 141.044 27283 -2756.85 9.31625 -2747.53
46100 141.532 27081.8 -2756.88 9.34849 -2747.53
46200 144.884 27052.8 -2757.1 9.5699 -2747.53
46300 144.432 27157.4 -2757.07 9.54004 -2747.53
46400 145.074 27026.6 -2757.11 9.58243 -2747.53
46500 141.442 27351.1 -2756.87 9.3425 -2747.53
46600 146.964 27333.2 -2757.24 9.70723 -2747.53
46700 143.328 27131.2 -2757 9.46712 -2747.53
46800 148.369 27167.4 -2757.33 9.80003 -2747.53
46900 137.443 27148.6 -2756.61 9.0784 -2747.53
47000 144.35 27162.3 -2757.06 9.53461 -2747.53
47100 146.159 27186.9 -2757.18 9.65407 -2747.53
47200 154.656 27287.1 -2757.75 10.2153 -2747.53
47300 145.376 27155.8 -2757.13 9.60236 -2747.53
47400 149.306 27441.7 -2757.39 9.86193 -2747.53
47500 138.947 27184.3 -2756.71 9.17769 -2747.53
47600 150.629 27314.7 -2757.48 9.94935 -2747.53
47700 147.588 27181.5 -2757.28 9.74848 -2747.53
47800 149.271 27154.6 -2757.39 9.85965 -2747.53
47900 149.55 27134.5 -2757.41 9.87804 -2747.53
