# Time-averaged data for fix thermo_out
# TimeStep v_myTemp v_myPress v_myPE v_myKE v_myET
48000 150.748 27492.1 -2757.49 9.95722 -2747.53
48100 136.992 27253.8 -2756.58 9.04861 -2747.53
48200 138.671 27115.4 -2756.69 9.15946 -2747.53
48300 146.647 27231.2 -2757.22 9.68629 -2747.53
48400 149.935 27260.3 -2757.43 9.90347 -2747.53
48500 148.856 27092.3 -2757.36 9.83224 -2747.53
48600 148.514 27094.3 -2757.34 9.80963 -2747.53
48700 141.319 27006.2 -2756.86 9.33436 -2747.53
48800 143.921 27268.9 -2757.04 9.50627 -2747.53
48900 139.281 27305.8 -2756.73 9.19977 -2747.53
49000 142.937 27249.1 -2756.97 9.44128 -2747.53
49100 144.11 27085.2 -2757.05 9.51873 -2747.53
49200 152.5 27125.7 -2757.6 10.0729 -2747.53
49300 149.079 27234.6 -2757.38 9.84698 -2747.53
49400 145.915 27183 -2757.17 9.63798 -2747.53
49500 140.248 27097.5 -2756.79 9.26367 -2747.53
49600 148.396 27110.5 -2757.33 9.80186 -2747.53
49700 156.043 27405.9 -2757.84 10.307 -2747.53
49800 154.727 27342.7 -2757.75 10.22 -2747.53
49900 144.702 27353.8 -2757.09 9.55782 -2747.53
50000 149.06 27493.5 -2757.38 9.84571 -2747.53
