LAMMPS mixture_MACE_XXX.data

7500 atoms
3 atom types
0.0 44.0 xlo xhi
0.0 44.0 ylo yhi
0.0 44.0 zlo zhi

Atoms # atomic

1 1 38.58620000 30.40930000 30.18330000
2 2 37.63460000 30.50120000 29.37680000
3 2 38.55300000 29.60680000 31.21900000
4 2 39.66430000 31.06940000 30.12460000
5 1 39.65290000 29.86320000 32.10560000
6 1 40.49530000 30.76520000 31.18610000
7 3 40.14620000 28.96720000 32.32980000
8 3 39.19750000 30.35330000 33.01740000
9 3 41.23570000 30.14350000 30.74630000
10 3 40.90900000 31.68270000 31.61400000
11 1 34.63200000 17.96080000 3.66370000
12 2 35.48930000 17.32590000 3.08397000
13 2 34.42880000 18.05740000 5.00363000
14 2 33.75870000 18.78190000 3.05677000
15 1 33.44960000 19.00220000 5.32020000
16 1 32.88670000 19.44160000 3.97615000
17 3 33.94350000 19.85520000 5.83521000
18 3 32.63790000 18.62710000 5.93482000
19 3 33.06490000 20.44860000 3.80684000
20 3 31.81960000 19.19080000 3.83096000
21 1 15.85900000 9.05669000 25.51320000
22 2 15.87790000 8.81338000 24.32050000
23 2 16.61390000 9.96150000 26.10240000
24 2 15.08610000 8.47481000 26.38350000
25 1 16.12840000 10.24550000 27.42270000
26 1 15.47510000 8.89868000 27.73280000
27 3 15.46480000 11.10830000 27.50060000
28 3 16.95370000 10.33590000 28.19320000
29 3 14.54890000 9.09378000 28.34610000
30 3 16.01530000 8.09392000 28.28370000
31 1 25.96620000 5.21736000 14.85260000
32 2 26.00050000 6.41277000 14.66000000
33 2 26.81890000 4.38949000 14.23830000
34 2 25.21690000 4.56490000 15.67430000
35 1 26.82030000 3.10667000 14.84080000
36 1 25.50750000 3.14185000 15.62800000
37 3 27.68400000 2.77734000 15.47860000
38 3 27.04870000 2.44697000 13.94590000
39 3 25.53020000 2.66556000 16.65150000
40 3 24.69420000 2.65911000 15.13210000
41 1 13.78320000 5.20326000 28.88180000
42 2 12.57670000 5.21297000 28.90000000
43 2 14.47540000 5.67334000 29.90350000
44 2 14.61490000 4.77736000 27.86560000
45 1 15.89330000 5.65588000 29.60910000
46 1 15.94360000 5.12050000 28.19770000
47 3 16.37710000 4.85804000 30.17560000
48 3 16.52600000 6.48987000 29.77280000
49 3 16.64530000 4.25580000 28.01510000
50 3 16.41960000 5.88328000 27.52610000
51 1 0.43467800 8.46324000 0.67343200
52 2 0.35130400 7.25147000 0.66067100
53 2 43.32370000 9.23728000 1.32334000
54 2 1.20020000 9.23794000 43.62160000
55 1 43.57390000 10.63120000 1.13361000
56 1 1.09472000 10.59650000 0.22121100
57 3 43.72540000 11.04020000 2.06510000
58 3 42.74630000 11.05120000 0.53418300
59 3 2.05940000 10.98400000 0.70474200
60 3 1.01698000 11.20420000 42.97540000
61 1 2.93878000 13.63540000 11.82730000
62 2 2.99932000 13.54590000 12.99630000
63 2 3.92038000 13.55210000 10.93970000
64 2 1.78776000 13.62810000 11.14700000
65 1 3.43440000 13.59850000 9.59158000
